"fishID","Species","Population","Waterway","Predation_Regime","Sex","First_turn_direction","Detour_socialmotivation","Detour_solve_time","Detour_solve_time_imputed","Solve_direction","Standard_length","Mid-body depth","Distance_moved","TimeinWhite","TimeinBlackThigmo","Standard_length_mm"
"Quintzel","G. affinis","BrushyCreek_HW","BrushyCreek","LP","M","Left",18.75,466.25,466.25,"Right",1.663,0.371,NA,NA,NA,16.63
"Quilt","G. affinis","BrushyCreek_HW","BrushyCreek","LP","M","Right",14.8333333333333,148.166666666667,148.166666666667,"Right",2.034,0.425,1474.07,111.639,130.685,20.34
"Potter","G. affinis","BrushyCreek_HW","BrushyCreek","LP","M","Left",29.8333333333333,NA,600,"n/a",2.152,0.51,1182.83,49.7373,180.983,21.52
"Qualify","G. affinis","BrushyCreek_HW","BrushyCreek","LP","M","Right",53.875,80.125,80.125,"Left",NA,NA,2310.51,257.33,136.648,NA
"Pete","G. affinis","BrushyCreek_HW","BrushyCreek","LP","M","Left",11.7916666666667,NA,600,"n/a",1.932,0.448,2248.53,103.195,176.74,19.32
"Percy","G. affinis","BrushyCreek_HW","BrushyCreek","LP","M","Right",8.83333333333333,138.166666666667,138.166666666667,"Left",1.859,0.434,2764.32,369.066,41.5319,18.59
"Percival","G. affinis","BrushyCreek_HW","BrushyCreek","LP","M","Left",32.8333333333333,78.1666666666667,78.1666666666667,"Right",2.039,0.502,1864.35,78.1471,310.668,20.39
"Pascal","G. affinis","BrushyCreek_HW","BrushyCreek","LP","M","Left",18.8333333333333,34.1666666666667,34.1666666666667,"Left",2.019,0.467,2894.93,37.7326,455.553,20.19
"Quin","G. affinis","BrushyCreek_HW","BrushyCreek","LP","F","Left",68.875,71.125,71.125,"Right",2.628,0.558,2401.13,223.438,230.08,26.28
"Quinnie","G. affinis","BrushyCreek_HW","BrushyCreek","LP","F","Left",32.875,250.125,250.125,"Right",NA,NA,4208.19,203.79,165.577,NA
"Queenie","G. affinis","BrushyCreek_HW","BrushyCreek","LP","F","Right",11.8333333333333,182.166666666667,182.166666666667,"Left",2.124,0.491,2126.69,195.789,200.95,21.24
"Paris","G. affinis","BrushyCreek_HW","BrushyCreek","LP","F","Left",30.7916666666667,NA,600,"n/a",3.149,0.719,2370.03,74.9415,224.465,31.49
"Queen","G. affinis","BrushyCreek_HW","BrushyCreek","LP","F","Left",56.7916666666667,46.2083333333333,46.2083333333333,"Left",2.958,0.797,2033.92,126.356,362.784,29.58
"Quala","G. affinis","BrushyCreek_HW","BrushyCreek","LP","F","Left",19.8333333333333,114.166666666667,114.166666666667,"Left",2.45,0.52,3073.16,233.842,235.923,24.5
"Pixie","G. affinis","BrushyCreek_HW","BrushyCreek","LP","F","Right",24.8333333333333,164.166666666667,164.166666666667,"Left",3.2,0.707,1782.21,216.275,219.796,32
"Penelope","G. affinis","BrushyCreek_HW","BrushyCreek","LP","F","Right",4.875,345.125,345.125,"Left",3.732,1.018,NA,NA,NA,37.32
"Paloma","G. affinis","BrushyCreek_HW","BrushyCreek","LP","F","Right",5.83333333333333,202.166666666667,202.166666666667,"Right",2.589,0.664,2425.91,190.786,276.296,25.89
"Paisley","G. affinis","BrushyCreek_HW","BrushyCreek","LP","F","Left",144.833333333333,90.1666666666667,90.1666666666667,"Left",4.273,1.02,749.554,38.411,111.872,42.73
"Milton","P. latipinna","BrushyCreek_HW","BrushyCreek","LP","M","Right",125.75,335.25,335.25,"Right",NA,NA,1035.41,233.015,66.166,NA
"Eva","G. affinis","BrushyCreek_HW","BrushyCreek","LP","F","Right",51.7083333333333,41.2916666666667,41.2916666666667,"Right",1.94,0.538,1216.38,437.749,90.4447,19.4
"Callen","G. affinis","BrushyCreek_HW","BrushyCreek","LP","M","Left",84.7083333333333,NA,600,"N/A",2.031,0.472,1347.51,0,0.033349,20.31
"Carl","G. affinis","BrushyCreek_HW","BrushyCreek","LP","M","Right",36.6666666666667,237.333333333333,237.333333333333,"Left",1.888,0.464,2244.16,0,0.033349,18.88
"Hidalgo","G. affinis","BrushyCreek_HW","BrushyCreek","LP","M","Left",10.75,25.25,25.25,"Left",1.269,0.303,1357.36,120.826,336.333,12.69
"Huerta","G. affinis","BrushyCreek_HW","BrushyCreek","LP","M","Right",10.7083333333333,13.2916666666667,13.2916666666667,"Right",1.726,0.421,2215.74,156.243,352.44,17.26
"Emma","G. affinis","BrushyCreek_HW","BrushyCreek","LP","F","Right",28.75,13.25,13.25,"Right",2.151,0.576,2008.04,72.8024,356.008,21.51
"Hugo","G. affinis","BrushyCreek_HW","BrushyCreek","LP","M","Left",23.75,559.25,559.25,"Right",1.667,0.424,1704.48,5.6361,0.03335,16.67
